姓名,2015,2016,2017,2018
毕国祥,,2.0,14.0,69 亿
杜越新,,,9.0,69 亿
方洪波,,24.0,7.0,69 亿
高仕军,,,2.0,69 亿
江淦钧,22.0,-1.0,-26.0,69 亿
黎经华,,,4.0,69 亿
李保平家族,11.0,12.0,4.0,69 亿
刘金成、骆锦红夫妇,16.0,-15.0,-36.0,69 亿
欧亚平,,,2.0,69 亿
孙永根,19.0,14.0,9.0,69 亿
王金书,,17.0,13.0,69 亿
夏曙东,4.0,2.0,9.0,69 亿
徐少春,,,,69 亿
徐勇,,,2.0,69 亿
许庆奎、许英强父子,21.0,9.0,4.0,69 亿
杨美容,,,-21.0,69 亿
张兴海、颜敏夫妇,,-41.0,-2.0,69 亿
邹浩,,,,69 亿
曾万辉、喻丽丽夫妇,,-24.0,16.0,66 亿
高毅,21.0,,,66 亿
曹克坚,-70.0,-13.0,-30.0,65 亿
陈江涛,0.0,-25.0,-10.0,65 亿
陈隆基、王华玉夫妇,1.0,5.0,0.0,65 亿
陈义红家族,-5.0,-5.0,0.0,65 亿
陈卓南,,,5.0,65 亿
陈卓喜,,,5.0,65 亿
陈卓贤,,,5.0,65 亿
陈卓雄,,,5.0,65 亿
何东翰,,,15.0,65 亿
何思模,1.0,-18.0,-45.0,65 亿
洪天祝,,15.0,,65 亿
姜银台家族,,,,65 亿
李光宇、李花父女,,,10.0,65 亿
李国庆、俞渝夫妇,,,,65 亿
李平平,,,,65 亿
李胥兵,,,,65 亿
李玉国家族,,20.0,-5.0,65 亿
梁勤家族,17.0,10.0,17.0,65 亿
刘水,-20.0,-13.0,-23.0,65 亿
刘亚超,,,5.0,65 亿
刘振国,-30.0,-30.0,-30.0,65 亿
吕培榕,10.0,5.0,0.0,65 亿
莫浩棠家族,20.0,16.0,6.0,65 亿
邵恒,,,10.0,65 亿
施天佑,5.0,-2.0,-15.0,65 亿
苏增福家族,18.0,12.0,5.0,65 亿
万连步家族,-50.0,-15.0,-10.0,65 亿
王春生、吕莉夫妇,12.0,-25.0,-85.0,65 亿
王军,,,13.0,65 亿
王铭祥、周一峰夫妇,,-20.0,-25.0,65 亿
王水福,12.0,-2.0,-20.0,65 亿
王忠军,,,,65 亿
徐万茂家族,,5.0,-2.0,65 亿
俞其兵,11.0,10.0,-3.0,65 亿
张雨柏,20.0,14.0,0.0,65 亿
张毓强,13.0,23.0,9.0,65 亿
张志铭,,,0.0,65 亿
周富裕、唐建芳夫妇,,,-30.0,65 亿
胡季强,-20.0,-2.0,-2.0,65 亿
李振江家族,10.0,15.0,15.0,65 亿
艾路明,,3.0,-4.0,63 亿
秦庆平家族,,,-22.0,63 亿
张佛恩,3.0,-4.0,0.0,63 亿
黄若虹、施佳菲夫妇,,,,62 亿
谢可滔,,,,62 亿
杨志茂、朱凤廉夫妇,-53.0,-53.0,-38.0,62 亿
于果,,,,62 亿
艾立华家族,-17.0,-9.0,-14.0,61 亿
刘远炳,14.0,14.0,14.0,61 亿
袁志敏、熊海涛夫妇,-29.0,-2.0,-6.0,61 亿
包凡,,,-7.0,60 亿
曾焕沙、陈思红夫妇,,,,60 亿
陈少杰,,,,60 亿
陈先保家族,7.0,0.0,5.0,60 亿
冬瑞芹、付嵩洋母子,,,5.0,60 亿
杜双华,-130.0,15.0,7.0,60 亿
冯焕培、范朝霞夫妇,-75.0,-30.0,-2.0,60 亿
高星家族,-1.0,0.0,-7.0,60 亿
高雪峰,11.0,15.0,0.0,60 亿
胡晓军、徐为夫妇,,,,60 亿
黄宏生、林卫平夫妇,-5.0,-20.0,-7.0,60 亿
黄仕坤,,,,60 亿
蒋建琪家族,,,,60 亿
金惠明家族,15.0,5.0,-5.0,60 亿
兰华升,-28.0,-20.0,-14.0,60 亿
李东军,12.0,10.0,5.0,60 亿
李福成家族,-6.0,-7.0,-7.0,60 亿
李赶坡,20.0,,5.0,60 亿
李学凌,17.0,,5.0,60 亿
梁衍峰,,,15.0,60 亿
刘满世家族,0.0,-2.0,-10.0,60 亿
孟庆山、王爱军父女,,,-15.0,60 亿
密春磊,12.0,12.0,-10.0,60 亿
莫林弟、莫思铭父子,,,-7.0,60 亿
王木清,7.0,7.0,-45.0,60 亿
文炳荣,-4.0,-14.0,3.0,60 亿
吴波家族,14.0,10.0,0.0,60 亿
熊贤忠,-4.0,5.0,0.0,60 亿
许刚,,,-15.0,60 亿
杨雪岗、路小梅夫妇,-10.0,-10.0,0.0,60 亿
易贤忠、关玉婵夫妇,,,,60 亿
张文中,,5.0,5.0,60 亿
张学政,,,,60 亿
赵凯,20.0,10.0,0.0,60 亿
甄荣辉,,,,60 亿
郑元豹,8.0,12.0,0.0,60 亿
邹锡昌,2.0,2.0,2.0,60 亿
洪浩,,,10.0,60 亿
丁雅丽,,,13.0,58 亿
何亚民家族,-22.0,-27.0,-27.0,58 亿
黄炳文家族,-52.0,-26.0,-20.0,58 亿
柯建生,13.0,-4.0,-23.0,58 亿
罗飞,,,,58 亿
徐进,8.0,,8.0,58 亿
帅放文、曹再云夫妇,-153.0,-88.0,-78.0,57 亿
陈礼明,,,9.0,57 亿
陈奇星,-38.0,-43.0,-83.0,57 亿
单建明、鲍凤娇夫妇,,,12.0,57 亿
欧亚非,,,-19.0,57 亿
王伟耀,9.0,12.0,2.0,57 亿
王文默,,,,57 亿
吴明福家族,,,,57 亿
陈劲松、佟捷夫妇,-69.0,-19.0,-24.0,56 亿
邓颖忠家族,,11.0,4.0,56 亿
林志雄,,,,56 亿
蔡高校,15.0,12.0,-12.0,55 亿
陈明俊,,,,55 亿
郭东林,-5.0,-35.0,-2.0,55 亿
韩涛,-55.0,-20.0,-45.0,55 亿
何伯权,5.0,11.0,10.0,55 亿
胡东,,,,55 亿
黄光苗,-1.0,-3.0,1.0,55 亿
黄有龙、赵薇夫妇,15.0,-12.0,-15.0,55 亿
黄泽兰、赖香英夫妇,,,-25.0,55 亿
李立新,11.0,7.0,2.0,55 亿
李琼,,-30.0,-25.0,55 亿
李晓明家族,,,-5.0,55 亿
林奇,-40.0,-40.0,-40.0,55 亿
史英文,,-5.0,-6.0,55 亿
唐越,,,,55 亿
王海鹏,-50.0,-50.0,-10.0,55 亿
王林祥,12.0,-1.0,-12.0,55 亿
王忆会,,-5.0,-12.0,55 亿
温纯青,5.0,4.0,4.0,55 亿
夏志生家族,10.0,,3.0,55 亿
许景南家族,,,5.0,55 亿
杨寿海,10.0,0.0,-15.0,55 亿
杨树坪,,,,55 亿
杨卓舒家族,-10.0,0.0,0.0,55 亿
易大盛,12.0,5.0,0.0,55 亿
尹兴满家族,-25.0,-12.0,-5.0,55 亿
张朝阳,5.0,5.0,-12.0,55 亿
张利群,,,-15.0,55 亿
张世民,-9.0,7.0,0.0,55 亿
郑坚江、何意菊夫妇,-55.0,-45.0,-30.0,55 亿
周亚辉,,-30.0,-25.0,55 亿
朱全祖、俞金花夫妇,,,,55 亿
徐明波,-1.0,0.0,10.0,55 亿
黄建勳,4.0,11.0,-1.0,54 亿
赖建平,,,,54 亿
梁志斌,,,7.0,54 亿
林志军,,,,54 亿
韦锦坤、韦利东父子,,,,54 亿
肖奋,-56.0,-41.0,-34.0,54 亿
刘悉承,-30.0,3.0,-28.0,53 亿
陈雁升、陈冬琼夫妇,-12.0,-44.0,-17.0,53 亿
刘国本,-47.0,-17.0,-12.0,53 亿
吕中楼,5.0,-11.0,-2.0,53 亿
任书良,,,,53 亿
叶德林,6.0,6.0,3.0,53 亿
张德生,-78.0,-33.0,-8.0,52 亿
阮鸿献,,,,52 亿
郭英成家族,-8.0,-8.0,-20.0,52 亿
黄金祥、赵启荣夫妇,-1.0,7.0,,52 亿
王佶,,,,52 亿
魏宣,2.0,2.0,0.0,52 亿
许英灼,10.0,,5.0,52 亿
尤小平家族,-28.0,-1.0,-15.0,52 亿
张果喜,7.0,2.0,2.0,52 亿
高建荣、冯飞飞夫妇,-11.0,-16.0,5.0,51 亿
李跃享家族,,,,51 亿
刘若鹏,,-24.0,-84.0,51 亿
孙伟杰,-59.0,3.0,,51 亿
孙荫环家族,6.0,-10.0,-4.0,51 亿
杨荣义,-7.0,0.0,0.0,51 亿
叶华能,-13.0,-9.0,-2.0,51 亿
陈丽芬,-12.0,-5.0,-5.0,50 亿
曹曙,6.0,5.0,0.0,50 亿
陈宝珍,-35.0,-65.0,-6.0,50 亿
戴志康家族,,,,50 亿
董经贵、钱经红夫妇,,,,50 亿
董勒成,5.0,2.0,5.0,50 亿
傅明康家族,,,-40.0,50 亿
高红明、郝风仙夫妇,,,,50 亿
高怀雪家族,-2.0,,0.0,50 亿
郭东泽,,,-20.0,50 亿
郭金树,4.0,5.0,0.0,50 亿
郭向东,,,,50 亿
郭信平,,,5.0,50 亿
何志平、张文莉夫妇,0.0,5.0,-5.0,50 亿
贺光启、陈素英夫妇,,,,50 亿
华勇,-10.0,-65.0,-17.0,50 亿
李朝旺,5.0,0.0,0.0,50 亿
李建国、蒋鹂北夫妇,,,,50 亿
李明、李伟伟父子,,,,50 亿
李宁,4.0,5.0,3.0,50 亿
廖道训家族,-14.0,5.0,,50 亿
刘建国、黄文欢夫妇,,,5.0,50 亿
刘雷,,0.0,-17.0,50 亿
刘庆峰,8.0,,-10.0,50 亿
刘双广,,-10.0,-4.0,50 亿
刘双珉,-14.0,-17.0,-8.0,50 亿
刘载望、富海霞夫妇,-40.0,-20.0,-20.0,50 亿
鲁楚平、彭惠夫妇,-80.0,-45.0,-19.0,50 亿
陆永华、毛彩虹夫妇,-45.0,-45.0,-25.0,50 亿
马仁和,,,,50 亿
马永升、锁芳夫妇,-4.0,-3.0,0.0,50 亿
彭星,0.0,-35.0,-5.0,50 亿
祁秀萍,,,,50 亿
乔玉华,-3.0,-8.0,0.0,50 亿
沈华源,-15.0,,,50 亿
汤晓鸥,,,,50 亿
汪东颖,,,,50 亿
王雪欣,,-40.0,-35.0,50 亿
王义平家族,-32.0,-7.0,-5.0,50 亿
王志华家族,,,5.0,50 亿
文开福,9.0,6.0,-10.0,50 亿
吴建荣,8.0,5.0,0.0,50 亿
吴雄,,,,50 亿
熊晓鸽,7.0,0.0,5.0,50 亿
徐步云、陈江月夫妇,9.0,7.0,5.0,50 亿
徐小平,,,5.0,50 亿
徐雄,,-50.0,-28.0,50 亿
阎焱,4.0,-5.0,5.0,50 亿
姚宏,,0.0,0.0,50 亿
叶远西,-40.0,-9.0,-33.0,50 亿
易元保,,,5.0,50 亿
俞培俤家族,-75.0,-35.0,-15.0,50 亿
袁凯飞,0.0,0.0,0.0,50 亿
袁志伦,,,0.0,50 亿
张文荣家族,-1.0,0.0,0.0,50 亿
张旭豪,,,,50 亿
张志熔家族,-35.0,-38.0,-25.0,50 亿
赵肇丰,,,,50 亿
郑伟鹤、黄荔夫妇,-4.0,-2.0,-3.0,50 亿
周良璋家族,,,-45.0,50 亿
周儒欣,-14.0,-15.0,-3.0,50 亿
周忻,,,,50 亿
庄辰超,,,0.0,50 亿
张观福,-25.0,-2.0,5.0,50 亿
周明华,7.0,0.0,,50 亿
胡赓熙、陈燕霓夫妇,,,,50 亿
欧雷强,,,,50 亿
黎俊东、李咏仪夫妇,10.0,,0.0,49 亿
郑耀楠,,6.0,,49 亿
李文美、王继华夫妇,,,,49 亿
柯云峰、梁小玲夫妇,,,,49 亿
李振国,,-47.0,-27.0,48 亿
刘树林,,,-12.0,48 亿
Ivan Xu,,,,48 亿
蔡明通、蔡劲军父子,-16.0,-19.0,-2.0,48 亿
范劲松,,,,48 亿
李永庆,,,,48 亿
宋飞家族,,,,48 亿
孙伟挺、陈玲芬夫妇,-10.0,-4.0,-4.0,48 亿
王剑峰,-27.0,-19.0,-12.0,48 亿
王振滔、王晨父子,-62.0,-22.0,-19.0,48 亿
徐步升家族,3.0,5.0,3.0,48 亿
薛济萍,-5.0,-22.0,-12.0,48 亿
朱志刚,,-8.0,-12.0,48 亿
周志文、冯宇霞夫妇,6.0,,,48 亿
柯金龙、王春婵夫妇,,,,48 亿
柯康保家族,,,,48 亿
贺学初,-17.0,,-2.0,47 亿
胡成中,-17.0,-12.0,-20.0,47 亿
冷天辉,-5.0,0.0,-3.0,47 亿
李伟,3.0,3.0,0.0,47 亿
李兴,0.0,2.0,-3.0,47 亿
林聪颖,-28.0,-10.0,-3.0,47 亿
沈培金,,,,47 亿
王明旺、蔡帝娥夫妇,-17.0,-11.0,-14.0,47 亿
王永华,,0.0,0.0,47 亿
许月娟,,,,47 亿
张三货,2.0,0.0,0.0,47 亿
周贤海、王小丽夫妇,,,,47 亿
宋礼华,,-8.0,,47 亿
曹世如、曹曾俊母子,-24.0,-4.0,-4.0,46 亿
方隽云、方骥柠父女,,,1.0,46 亿
黄正聪,,,,46 亿
李春安,,,-4.0,46 亿
吕建明,-1.0,,,46 亿
王柏兴、王伟峰父子,-29.0,-14.0,0.0,46 亿
王言卿、陈亮母子,,,,46 亿
王毅然,,,,46 亿
闻掌华,-7.0,-14.0,-4.0,46 亿
吴洁,-44.0,-2.0,1.0,46 亿
张剑群,-4.0,-9.0,-9.0,46 亿
朱宝良、洪一丹夫妇,,,,46 亿
朱宝松家族,1.0,,,46 亿
邹节明家族,,-10.0,-5.0,45 亿
李占通,-3.0,-5.0,0.0,45 亿
张之君家族,,,0.0,45 亿
曹国伟,,,-15.0,45 亿
陈明金,,,,45 亿
陈文沛、张丽萍夫妇,0.0,0.0,0.0,45 亿
陈雪玲,,,,45 亿
戴文军,,,,45 亿
冯长革,-20.0,-30.0,-5.0,45 亿
傅胜龙、速卫玲夫妇,,,,45 亿
郭念昆,-12.0,0.0,-3.0,45 亿
黄焕明,-7.0,-7.0,0.0,45 亿
吉兴业,,-6.0,-11.0,45 亿
纪静,,,,45 亿
贾跃亭,-405.0,-375.0,,45 亿
冷天晴,,,-2.0,45 亿
李德福,-45.0,,-5.0,45 亿
李卫伟,-43.0,-43.0,-55.0,45 亿
梁希森,0.0,0.0,0.0,45 亿
刘德,,,,45 亿
马万良家族,1.0,,-5.0,45 亿
倪永培,,,-10.0,45 亿
欧蓬,,,,45 亿
邵晓峰,5.0,-20.0,,45 亿
沈锡强家族,,-13.0,-5.0,45 亿
孙永辉,,,,45 亿
唐修国,-19.0,-5.0,0.0,45 亿
田在玮家族,,,0.0,45 亿
童文其,,,,45 亿
涂建骅,,,,45 亿
万永兴,-75.0,-33.0,-22.0,45 亿
王刚刚,,,,45 亿
王建军、赵颖夫妇,,,,45 亿
王敏文,,,,45 亿
王张兴,,,,45 亿
吴晓宁家族,,,,45 亿
夏朝嘉,0.0,0.0,0.0,45 亿
谢旭辉,,,,45 亿
徐广福、徐翔父子,,,0.0,45 亿
徐桂芬家族,,-10.0,-30.0,45 亿
薛方全,,,,45 亿
于冬,,,-30.0,45 亿
张爱娟家族,-20.0,-2.0,-10.0,45 亿
张建明,2.0,2.0,0.0,45 亿
张荣明,,,,45 亿
张长虹,-135.0,-55.0,-10.0,45 亿
赵满堂、赵庆父子,,,,45 亿
郑胜涛家族,5.0,0.0,,45 亿
周和平,-22.0,-9.0,-7.0,45 亿
周逵,,,,45 亿
周炜家族,,,,45 亿
周新基,,,,45 亿
朱逢学,,,,45 亿
范秀莲、杨飞母女,,,,45 亿
游谊竹,,,,45 亿
丁欣欣、张杏娟夫妇,-106.0,-46.0,-21.0,44 亿
何克能、张秀元夫妇,,,,44 亿
蒋茂远,4.0,,,44 亿
卢础其,,,,44 亿
许智明,,,,44 亿
关彦斌、张晓兰夫妇,,,,44 亿
汪力成,,,-12.0,43 亿
丁列明家族,,,-7.0,43 亿
曾开天,-38.0,-37.0,-47.0,43 亿
陈国鹰家族,-42.0,-24.0,-7.0,43 亿
郭力,,,,43 亿
黄炳均、盛承慧夫妇,-5.0,-2.0,,43 亿
黄河清、吴月华夫妇,,-9.0,-24.0,43 亿
李国庆,,,,43 亿
李连柱,,,,43 亿
鲁小均家族,,,-7.0,43 亿
汪静波,,,,43 亿
席有良,,,,43 亿
俞建秋,,,,43 亿
郑钟南,,-7.0,,43 亿
刘兆年,,,-11.0,42 亿
陈尧根,,-1.0,-8.0,42 亿
陈承守,2.0,,,42 亿
高天乐,-1.0,,,42 亿
顾林祥、沈宝珠夫妇,,,,42 亿
胡葆森家族,,,,42 亿
霍焱,,,,42 亿
刘安省,,,,42 亿
马飞,,,,42 亿
沈亚,-68.0,-47.0,-25.0,42 亿
唐健、刘翠英夫妇,-48.0,-31.0,-23.0,42 亿
王立飞,,,,42 亿
王敏良,,,,42 亿
徐金富,,-38.0,-23.0,42 亿
杨全玉,-12.0,0.0,,42 亿
虞阿五、虞兔良父子,-48.0,-21.0,-10.0,42 亿
张瑜平,-1.0,1.0,,42 亿
赵美光,,-3.0,-8.0,42 亿
李一奎家族,,,,42 亿
单银木,,,-19.0,41 亿
梁凯,,,,41 亿
刘肇怀,-23.0,-16.0,-10.0,41 亿
刘正军家族,-19.0,-20.0,-6.0,41 亿
乔鲁予,-45.0,-10.0,-6.0,41 亿
